Arena Coliseu Mateus Aquino,Alto Santo
Arena Joinville,Joinville
Arena Multiuso,Salvador
Estádio Ademar da Costa Carvalho (Ilha do Retiro),Recife
Estádio Aderbal Ramos da Silva (Ressacada),Florianópolis
Estádio Alberto Oliveira (Estádio Jóia da Princesa),Feira de Santana
Estádio Alfredo Schurig (Fazendinha or Parque São Jorge),São Paulo
Estádio Alfredo Jaconi,Caxias do Sul
Estádio Anísio Haddad (Rio Pretão),São José do Rio Preto
Estádio Barão de Serra Negra,Piracicaba
Estádio Benedito Teixeira (Teixeirão),São José do Rio Preto
Estádio Brinco de Ouro,Campinas
Estádio Centenário,Caxias do Sul
Estádio Centro Poliesportivo Pinheiro,Curitiba
Estádio Cícero Pompeu de Toledo (Morumbi),São Paulo
Estádio Dr. Francisco de Palma Travassos, Ribeirão Preto
Estádio Eduardo José Farah (Farazhão),Presidente Prudente
Estádio Fredis Saldívar (Douradão),Dourados
Estádio Godofredo Cruz,Campos dos Goytacazes
Estádio Governador Alberto Tavares Silva (Albertão),Teresina
Estádio Governador Ernani Sátiro (O Amigão),Campina Grande
Estádio Heriberto Hülse,Criciúma
Estádio Jacy Scaff (Do Café),Londrina
Estadio Governador João Castelo (Castelão),São Luís
Estádio Governador José Fragelli (Verdão),Cuiabá
Estádio Jornalista Mário Filho (Maracanã),Rio de Janeiro
Estádio José Américo de Almeida Filho (Almeidão),João Pessoa
Estádio José do Rego Maciel (Arruda),Recife
Estádio José Pinheiro Borba (Beira Rio),Porto Alegre
Estádio Kléber Andrade,Cariacica
Estádio Luiz José de Lacerda (Lacerdão),Caruaru
Estádio Magalhães Pinto (Mineirão),Belo Horizonte
Estádio Major Antônio do Couto Pereira,Curitiba
Estádio Major José Levy Sobrinho (Limeirão),Limeira
Estádio Mané Garrincha,Brasília
Estádio Manoel Barradas (Barradão),Salvador
Estádio Maria Lamas Farache (Frasqueirão),Natal
Estádio Martins Pereira,São José dos Campos
Estádio Municipal Adail Nunes da Silva (Taquarão),Taquaritinga
Estádio Municipal João Guido (Uberabão),Uberaba
Estádio Municipal João Havelange (Parque do Sabiá),Uberlândia
Estádio Municipal Juscelino Kubitschek,Itumbiara
Estádio Municipal Nhozinho Santos,São Luís
Estádio Municipal Prefeito Dilson Luiz de Melo (Melão),Varginha
Estádio Municipal Radialista Mario Helênio,Juiz de Fora
Estádio Olímpico Colosso da Lagoa,Erechim
Estádio Olímpico Edgard Proença (Mangueirão),Belém
Estádio Olímpico João Havelange,Rio de Janeiro
Estádio Olímpico Monumental,Porto Alegre
Estádio Olímpico Regional Arnaldo Busatto,Cascavel
Estádio Octávio Mangabeira (Fonte Nova),Salvador
Estádio do Pacaembu, São Paulo
Estádio Palestra Itália (Parque Antártica),São Paulo
Estádio Papa João Paulo II,Moji-Mirim
Estádio Pedro Victor de Albuquerque,Caruaru
Estádio Plácido Castelo,Fortaleza
Estádio Rei Pelé,Maceió
Estádio Santa Cruz,Ribeirão Preto
Estádio São Januário,Rio de Janeiro
Estádio Serra Dourada,Goiânia
Estádio da Universidade de Lavras,Lavras
Estádio Universitário Pedro Pedrossian (Morenão),Campo Grande
Estádio Universitário São Paulo,São Paulo
Estádio Vivaldo Lima,Manaus
Estádio Waldomiro Pereira,Patos de Minas
