Club Hípico de Santiago,Santiago
Coliseo La Tortuga,Talcahuano
Estadio Carlos Dittborn,Arica
Estadio El Cobre,El Salvador
Estadio El Teniente,Rancagua
Estadio Fiscal de Talca,Talca
Estadio La Granja,Curicó
Estadio La Portada,La Serena
Estadio Las Higueras,Talcahuano
Estadio Monumental David Arellano,Santiago
Estadio Municipal de Calama,Calama, Chile
Estadio Municipal de Concepción,Concepción
Estadio Municipal de La Cisterna,Santiago
Estadio Municipal de La Florida,La Florida
Estadio Municipal Francisco Sánchez Rumoroso,Coquimbo
Estadio Municipal Germán Becker,Temuco
Estadio Municipal Roberto Bravo Santibáñez,Melipilla
Estadio Municipal Rubén Marcos Peralta,Osorno
Estadio Nacional (Chile),Santiago
Estadio Playa Ancha,Valparaíso
Estadio Regional de Antofagasta,Santiago
Estadio Regional de Chinquihue,Puerto Montt
Estadio San Carlos de Apoquindo,Santiago
Estadio Santa Laura,Independencia
Estadio Santiago Bueras,Maipú, Chile
Estadio Sausalito,Viña del Mar
Estadio Víctor Jara,
Medialuna Monumental de Rancagua,Rancagua
Movistar Arena,Santiago
