Estadio Nacional Coloso de José Díaz,Lima Province
Estadio Universidad San Marcos,Lima Province
Estadio Monumental "U",Lima Province
Estadio Alejandro Villanueva,Lima Province
Estadio Miguel Grau,Piura
Estadio Teodoro Lolo Fernández,Lima Province
Estadio Municipal de Chorrillos,Lima Province
Plaza de Acho,Lima Province
Plaza de Sol y Sombra,Lima Province
Estadio Monumental (Universidad Nacional San Agustín),Arequipa
Estadio Mariano Melgar,Arequipa
Estadio Mansiche,Trujillo
Estadio Elías Aguirre,Chiclayo
Estadio Miguel Grau,Callao
Estadio Max Augustín,Iquitos
Estadio Manuel Gómez Arellano,Chimbote
Estadio Huancayo,Huancayo
Estadio Inca Garcilaso de la Vega,Cusco
Estadio Official de Pucallpa,Pucallpa
Estadio Jorge Basadre,Tacna
Estadio José Picasso Peratta,Ica
Estadio Campeones del 36,Sullana
Estadio E. Torres Belón,Puno
Estadio Heraclio Tapia,Huánuco
Estadio Campeonísimo,Talara
Estadio Héroes de San Ramón,Cajamarca
Estadio Julio Lores Colán,Huaral
Estadio Monumental,Jauja
Estadio Daniel Alcides Carrión,Cerro de Pasco
